year;sector;area;value;variation
2004;agr_fish;london;2400;0
2004;agr_fish;uk;271600;0
2004;ene_water;london;27900;0
2004;ene_water;uk;396700;0
2004;manu;london;195600;0
2004;manu;uk;3709900;0
2004;const;london;256200;0
2004;const;uk;2386900;0
2004;dist_hot_rest;london;623200;0
2004;dist_hot_rest;uk;5434200;0
2004;tran_com;london;485100;0
2004;tran_com;uk;2713800;0
2004;bank_fin_ins;london;769600;0
2004;bank_fin_ins;uk;3953300;0
2004;pub_ed_hea;london;880800;0
2004;pub_ed_hea;uk;7808000;0
2004;other;london;235300;0
2004;other;uk;1481600;0
2004;total;london;2993900;0
2004;total;uk;21390900;0
2005;agr_fish;london;2500;0.041666667
2005;agr_fish;uk;277900;0.023195876
2005;ene_water;london;24200;-0.132616487
2005;ene_water;uk;413600;0.042601462
2005;manu;london;188800;-0.034764826
2005;manu;uk;3594500;-0.03110596
2005;const;london;261100;0.019125683
2005;const;uk;2432900;0.019271859
2005;dist_hot_rest;london;602700;-0.032894737
2005;dist_hot_rest;uk;5437000;0.000515255
2005;tran_com;london;461400;-0.048855906
2005;tran_com;uk;2701700;-0.004458693
2005;bank_fin_ins;london;807700;0.049506237
2005;bank_fin_ins;uk;4075800;0.030986771
2005;pub_ed_hea;london;932300;0.058469573
2005;pub_ed_hea;uk;8081600;0.035040984
2005;other;london;234100;-0.005099873
2005;other;uk;1486000;0.002969762
2005;total;london;3038200;0.014796753
2005;total;uk;21782100;0.018288151
2006;agr_fish;london;3500;0.4
2006;agr_fish;uk;296000;0.065131342
2006;ene_water;london;28900;0.194214876
2006;ene_water;uk;439800;0.063346228
2006;manu;london;196900;0.042902542
2006;manu;uk;3545600;-0.013604117
2006;const;london;272500;0.043661432
2006;const;uk;2512200;0.032594846
2006;dist_hot_rest;london;588300;-0.023892484
2006;dist_hot_rest;uk;5433100;-0.000717307
2006;tran_com;london;458800;-0.005635024
2006;tran_com;uk;2728000;0.009734612
2006;bank_fin_ins;london;798600;-0.011266559
2006;bank_fin_ins;uk;4075200;-0.00014721
2006;pub_ed_hea;london;978000;0.049018556
2006;pub_ed_hea;uk;8234500;0.018919521
2006;other;london;239600;0.023494233
2006;other;uk;1536700;0.034118439
2006;total;london;3063400;0.008294385
2006;total;uk;22007500;0.010347946
2007;agr_fish;london;6200;0.771428571
2007;agr_fish;uk;295700;-0.001013514
2007;ene_water;london;39100;0.352941176
2007;ene_water;uk;474800;0.079581628
2007;manu;london;232200;0.179278822
2007;manu;uk;3539400;-0.001748646
2007;const;london;276800;0.015779817
2007;const;uk;2539400;0.010827163
2007;dist_hot_rest;london;586200;-0.003569607
2007;dist_hot_rest;uk;5432600;-9.20285E-05
2007;tran_com;london;461200;0.005231037
2007;tran_com;uk;2741500;0.00494868
2007;bank_fin_ins;london;876100;0.097044828
2007;bank_fin_ins;uk;4295400;0.054034158
2007;pub_ed_hea;london;937100;-0.041820041
2007;pub_ed_hea;uk;8233800;-8.50082E-05
2007;other;london;234300;-0.0221202
2007;other;uk;1552900;0.010542071
2007;total;london;3095000;0.010315336
2007;total;uk;22256300;0.011305237
2008;agr_fish;london;6500;0.048387097
2008;agr_fish;uk;334600;0.131552249
2008;ene_water;london;41800;0.069053708
2008;ene_water;uk;492000;0.036225779
2008;manu;london;212900;-0.083118002
2008;manu;uk;3359500;-0.050827824
2008;const;london;273200;-0.01300578
2008;const;uk;2584200;0.017641963
2008;dist_hot_rest;london;617700;0.053735926
2008;dist_hot_rest;uk;5508700;0.014008026
2008;tran_com;london;470900;0.02103209
2008;tran_com;uk;2761000;0.007112894
2008;bank_fin_ins;london;901200;0.028649698
2008;bank_fin_ins;uk;4271100;-0.005657215
2008;pub_ed_hea;london;955400;0.019528332
2008;pub_ed_hea;uk;8376400;0.017318856
2008;other;london;263800;0.125906957
2008;other;uk;1572000;0.012299569
2008;total;london;3208900;0.036801292
2008;total;uk;22489100;0.01045996
2009;agr_fish;london;3700;-0.430769231
2009;agr_fish;uk;322300;-0.036760311
2009;ene_water;london;29600;-0.291866029
2009;ene_water;uk;478800;-0.026829268
2009;manu;london;147400;-0.307656177
2009;manu;uk;2849600;-0.151778538
2009;const;london;267800;-0.019765739
2009;const;uk;2322500;-0.101269252
2009;dist_hot_rest;london;608500;-0.014893961
2009;dist_hot_rest;uk;5371100;-0.02497867
2009;tran_com;london;454200;-0.035464005
2009;tran_com;uk;2483300;-0.1005795
2009;bank_fin_ins;london;937300;0.040057701
2009;bank_fin_ins;uk;4651600;0.08908712
2009;pub_ed_hea;london;1038700;0.087188612
2009;pub_ed_hea;uk;8696800;0.038250322
2009;other;london;262800;-0.003790751
2009;other;uk;1610600;0.024554707
2009;total;london;3301500;0.028857241
2009;total;uk;22813400;0.014420319
2010;agr_fish;london;3400;-0.081081081
2010;agr_fish;uk;354400;0.099596649
2010;ene_water;london;24700;-0.165540541
2010;ene_water;uk;468500;-0.021512114
2010;manu;london;142300;-0.034599729
2010;manu;uk;2882100;0.011405109
2010;const;london;252800;-0.056011949
2010;const;uk;2191000;-0.056620022
2010;dist_hot_rest;london;655100;0.076581758
2010;dist_hot_rest;uk;5360600;-0.001954907
