year;sector;area;value
2004;agr_fish;london;2400.00
2004;agr_fish;uk;271600.00
2004;ene_water;london;27900.00
2004;ene_water;uk;396700.00
2004;manu;london;195600.00
2004;manu;uk;3709900.00
2004;const;london;256200.00
2004;const;uk;2386900.00
2004;dist_hot_rest;london;623200.00
2004;dist_hot_rest;uk;5434200.00
2004;tran_com;london;485100.00
2004;tran_com;uk;2713800.00
2004;bank_fin_ins;london;769600.00
2004;bank_fin_ins;uk;3953300.00
2004;pub_ed_hea;london;880800.00
2004;pub_ed_hea;uk;7808000.00
2004;other;london;235300.00
2004;other;uk;1481600.00
2004;total;london;2993900.00
2004;total;uk;21390900.00
2005;agr_fish;london;2500.00
2005;agr_fish;uk;277900.00
2005;ene_water;london;24200.00
2005;ene_water;uk;413600.00
2005;manu;london;188800.00
2005;manu;uk;3594500.00
2005;const;london;261100.00
2005;const;uk;2432900.00
2005;dist_hot_rest;london;602700.00
2005;dist_hot_rest;uk;5437000.00
2005;tran_com;london;461400.00
2005;tran_com;uk;2701700.00
2005;bank_fin_ins;london;807700.00
2005;bank_fin_ins;uk;4075800.00
2005;pub_ed_hea;london;932300.00
2005;pub_ed_hea;uk;8081600.00
2005;other;london;234100.00
2005;other;uk;1486000.00
2005;total;london;3038200.00
2005;total;uk;21782100.00
2006;agr_fish;london;3500.00
2006;agr_fish;uk;296000.00
2006;ene_water;london;28900.00
2006;ene_water;uk;439800.00
2006;manu;london;196900.00
2006;manu;uk;3545600.00
2006;const;london;272500.00
2006;const;uk;2512200.00
2006;dist_hot_rest;london;588300.00
2006;dist_hot_rest;uk;5433100.00
2006;tran_com;london;458800.00
2006;tran_com;uk;2728000.00
2006;bank_fin_ins;london;798600.00
2006;bank_fin_ins;uk;4075200.00
2006;pub_ed_hea;london;978000.00
2006;pub_ed_hea;uk;8234500.00
2006;other;london;239600.00
2006;other;uk;1536700.00
2006;total;london;3063400.00
2006;total;uk;22007500.00
2007;agr_fish;london;6200.00
2007;agr_fish;uk;295700.00
2007;ene_water;london;39100.00
2007;ene_water;uk;474800.00
2007;manu;london;232200.00
2007;manu;uk;3539400.00
2007;const;london;276800.00
2007;const;uk;2539400.00
2007;dist_hot_rest;london;586200.00
2007;dist_hot_rest;uk;5432600.00
2007;tran_com;london;461200.00
2007;tran_com;uk;2741500.00
2007;bank_fin_ins;london;876100.00
2007;bank_fin_ins;uk;4295400.00
2007;pub_ed_hea;london;937100.00
2007;pub_ed_hea;uk;8233800.00
2007;other;london;234300.00
2007;other;uk;1552900.00
2007;total;london;3095000.00
2007;total;uk;22256300.00
