state;year;value;variation
Acre;2002;2971301.2800000003;0
Acre;2003;3377234.25;0.13661791
Acre;2004;3784002.58;0.120444216
Acre;2005;4300581.27;0.136516474
Acre;2006;4661806.96;0.08399462
Acre;2007;5458172.17;0.170827582
Acre;2008;6410254.680000001;0.17443248
Acre;2009;7407821.4;0.15562045
Acre;2010;8342355.529999999;0.126155057
Acre;2011;8949433.76;0.072770602
Acre;2012;10137924.709999999;0.132800687
Acre;2013;11473930.169999998;0.131782934
Acre;2014;13458697.629999999;0.172980612
Acre;2015;13622801.8;0.012193169
Acre;2016;13754239.98;0.009648396
Acre;2017;14271063.14;0.037575552
Alagoas;2002;11536852.889999999;0
Alagoas;2003;12624030.21;0.094235172
Alagoas;2004;14044907.46;0.112553378
Alagoas;2005;15484521.45;0.102500781
Alagoas;2006;17395670.95;0.12342322
Alagoas;2007;19871265.92;0.142310979
Alagoas;2008;22262294.6;0.120325936
Alagoas;2009;24182387.52;0.086248653
Alagoas;2010;27133037.87;0.122016503
Alagoas;2011;31657320.740000002;0.166744428
Alagoas;2012;34650397.47;0.094546116
Alagoas;2013;37282529.120000005;0.075962524
Alagoas;2014;40974994.01;0.099040086
Alagoas;2015;46367210.61;0.13159774
Alagoas;2016;49468740.91;0.066890595
Alagoas;2017;52843468.17;0.068219389
Amapá;2002;3173342.6700000004;0
Amapá;2003;3413195.15;0.075583542
Amapá;2004;3824739.76;0.120574591
Amapá;2005;4306410.13;0.125935462
Amapá;2006;5280821.95;0.226270093
Amapá;2007;6012522.86;0.138558148
Amapá;2008;6950413.08;0.155989464
Amapá;2009;7490655.55;0.07772811
Amapá;2010;8237795.35;0.099742912
Amapá;2011;9409228.04;0.142202208
Amapá;2012;11130867.8;0.18297354
Amapá;2013;12763486.21;0.146674854
Amapá;2014;13400283.59;0.04989212
Amapá;2015;13861293.27;0.034402979
Amapá;2016;14342135.08;0.034689534
Amapá;2017;15479885.07;0.079329192
Amazonas;2002;22093338.020000003;0
Amazonas;2003;25862134.09;0.170585181
Amazonas;2004;31090695.8;0.202170544
Amazonas;2005;33980876.53;0.092959667
Amazonas;2006;39933212.64;0.175167233
Amazonas;2007;43479773.08;0.088812299
Amazonas;2008;48115264.65;0.106612598
Amazonas;2009;50559839.68;0.050806642
Amazonas;2010;60877122.690000005;0.204060833
Amazonas;2011;70734401.22000001;0.161920901
Amazonas;2012;72242700.67999999;0.021323422
Amazonas;2013;83051232.96000001;0.149614178
Amazonas;2014;86668643.78;0.043556377
Amazonas;2015;86568184.24;-0.001159122
Amazonas;2016;89039782.0;0.028550879
Amazonas;2017;93204175.01;0.046770027
Bahia;2002;58842975.94;0
Bahia;2003;67174226.87;0.141584459
Bahia;2004;77931724.71000001;0.160143233
Bahia;2005;88291882.63000001;0.132938902
Bahia;2006;95347801.95;0.079915833
Bahia;2007;109329527.53999999;0.146639202
Bahia;2008;121667454.64;0.112850822
Bahia;2009;137942480.66000003;0.133766471
Bahia;2010;154419547.39;0.119448821
Bahia;2011;166602816.9;0.078897197
Bahia;2012;182572530.06;0.095855001
Bahia;2013;204844273.53;0.121988469
Bahia;2014;223929966.2;0.093171717
Bahia;2015;245043689.66;0.094287173
Bahia;2016;258738970.26;0.055889138
Bahia;2017;268660840.82;0.038347028
Ceará;2002;28718840.349999998;0
Ceará;2003;32687418.269999996;0.138187262
Ceará;2004;36890816.2;0.128593757
Ceará;2005;41059459.230000004;0.11299948
Ceará;2006;46500320.74000001;0.132511767
Ceará;2007;50818749.019999996;0.092868785
Ceará;2008;60415573.67;0.188844173
Ceará;2009;67199958.06;0.11229529
Ceará;2010;79336299.26999998;0.180600428
Ceará;2011;89695828.42999999;0.130577419
Ceará;2012;96973752.89;0.081140055
Ceará;2013;109036556.35999998;0.124392458
Ceará;2014;126054471.64999998;0.156075319
Ceará;2015;130629848.52000001;0.036296823
Ceará;2016;138422520.67000002;0.059654606
Ceará;2017;147890391.75;0.068398343
