year;industry;value
2000.0;All industries;1930800.0
2000.0;Goods-Producing Sector;407200.0
2000.0;Agriculture;29700.0
2000.0;   Crop Production;16200.0
2000.0;   Animal Production;10400.0
2000.0;   Mix farming;
2000.0;   Support Activities for Agriculture;1700.0
2000.0;Forestry, fishing, mining, quarrying, oil and gas;52600.0
2000.0;   Forestry and Logging with support activities;35500.0
2000.0;   Fishing, Hunting and Trapping;4300.0
2000.0;   Mining and Oil and Gas Extraction;12800.0
2000.0;      Oil and Gas Extraction;
2000.0;      Mining (except Oil and Gas) & Mix Mining;8600.0
2000.0;      Support Activities for Mining and Oil and Gas Extraction;3000.0
2000.0;Utilities;10400.0
2000.0;Construction;112100.0
2000.0;  Construction of Buildings;27100.0
2000.0;     Residential Building Construction;19100.0
2000.0;     Non-residential Building Construction;8000.0
2000.0;  Heavy and Civil Engineering Construction;15100.0
2000.0;     Utility System Construction;2900.0
2000.0;     Land Subdivision;1800.0
2000.0;     Highway, Street and Bridge Construction;8700.0
2000.0;     Other Heavy and Civil Engineering Construction;1700.0
2000.0;   Trade Contracting;69900.0
2000.0;     Foundation Structure and Building Exterior Contractors;9700.0
2000.0;     Building Equipment Contractors;23700.0
2000.0;     Building Finishing Contractors;23500.0
2000.0;     Other Specialty Trade Contractors;13000.0
2000.0;Manufacturing;202500.0
2000.0;   Food Manufacturing;19600.0
2000.0;   Beverage and Tobacco Product Manufacturing;3900.0
2000.0;   Textile Mills & Textile Product Mills;2700.0
2000.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;7800.0
2000.0;   Wood Product Manufacturing;47800.0
2000.0;   Paper Manufacturing;17700.0
2000.0;   Printing and Related Support Activities;10900.0
2000.0;   Petroleum and Coal Products Manufacturing;
2000.0;   Chemical Manufacturing;7700.0
2000.0;   Plastics and Rubber Products Manufacturing;8000.0
2000.0;   Non-Metallic Mineral Product Manufacturing;6300.0
2000.0;   Primary Metal Manufacturing;10500.0
2000.0;   Fabricated Metal Product Manufacturing;12400.0
2000.0;   Machinery Manufacturing;7900.0
2000.0;   Computer and Electronic Product Manufacturing;7600.0
2000.0;   Electrical Equipment, Appliance and Component Manufacturing;3900.0
2000.0;   Transportation Equipment Manufacturing;13200.0
2000.0;      Motor Vehicle, Body, Trailer & Parts Manufacturing;5000.0
2000.0;      Other Transportation Equipment Manufacturing;8200.0
2000.0;   Furniture and Related Product Manufacturing;3000.0
2000.0;   Miscellaneous Manufacturing;10300.0
2000.0;  Durables;122900.0
2000.0;  Non-durables;79500.0
2000.0;Services-Producing Sector;1523500.0
2000.0;Trade;303600.0
2000.0;   Wholesale;67200.0
2000.0;      Farm Product Wholesaler-Distributors;1600.0
2000.0;      Petroleum Product Wholesaler-Distributors;
2000.0;      Food, Beverage and Tobacco Wholesaler-Distributors;12800.0
2000.0;      Personal and Household Goods Wholesaler-Distributors;9600.0
2000.0;      Motor Vehicle and Parts Wholesaler-Distributors;4300.0
2000.0;      Building Material and Supplies Wholesaler-Distributors;10000.0
2000.0;      Machinery, Equipment and Supplies Wholesaler-Distributors;16200.0
2000.0;      Miscellaneous Wholesaler-Distributors & Wholesale Agents & Brokers;11900.0
2000.0;   Retail;236400.0
2000.0;      Motor Vehicle and Parts Dealers;22400.0
2000.0;      Furniture and Home Furnishings Stores;8300.0
2000.0;      Electronics and Appliance Stores;10200.0
2000.0;      Building Material and Garden Equipment and Supplies Dealers;13200.0
2000.0;      Food and Beverage Stores;61300.0
2000.0;      Health and Personal Care Stores;17600.0
2000.0;      Gasoline Stations;9600.0
2000.0;      Clothing and Clothing Accessories Stores;22500.0
2000.0;      Sporting Goods, Hobby, Book and Music Stores;12200.0
2000.0;      General Merchandise Stores;28400.0
2000.0;      Miscellaneous Store Retailers;23900.0
2000.0;      Non-Store Retailers;6900.0
2000.0;Transportation and Warehousing;118100.0
2000.0;   Transportation;114800.0
2000.0;      Air Transportation;19700.0
2000.0;      Rail Transportation;6200.0
2000.0;      Water Transportation;5500.0
2000.0;      Truck Transportation;32100.0
2000.0;      Transit and Ground Passenger Transportation;12300.0
2000.0;      Pipeline Transportation;
2000.0;      Scenic and Sightseeing Transportation & Support Activities for Transportation;20600.0
2000.0;      Postal Service;8900.0
2000.0;      Couriers and Messengers;8900.0
2000.0;   Warehousing and Storage;3300.0
2000.0;Finance, Insurance, Real Estate and Leasing;117000.0
2000.0;   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities;40900.0
2000.0;   Securities, Commodity Contracts, and Other Intermediation and Related Activities;10900.0
