Country ,Mean Summer,When host,Mean Winter,Type ,City
UK,30.39,65,1.39,Summer,London-2012
Brazil,5.86,19,0,Summer,Rio-2016
China,54.6,88,5.63,Summer,Beijing-2008
Italy,21.37,11,5.39,Winter,Torino-2006
Greece,5.92,16,0,Summer,Athens-2004
USA,93.44,34,13.26,Winter,Salt Lake City-2002
Australia,19.11,58,0.79,Summer,Sydney-2000
Japan,19.95,10,2.76,Winter,Nagano-1998
USA,93.44,101,13.26,Summer,Atlanta-1996
Spain,6.52,22,0.2,Summer,Barcelona-1992
France,25.57,9,5.39,Winter,Albertville-1990
Canada,11.61,11,8.65,Summer,Montreal-1976
