area,2011-12,2012-13,2013-14,2014-15
City of London,,7.44,7.24,
Barking and Dagenham,6.93,6.97,7.04,7.24
Barnet,7.26,7.27,7.53,7.46
Bexley,7.2,7.21,7.29,7.39
Brent,7.03,7.09,7.22,7.36
Bromley,7.53,7.36,7.55,7.48
Camden,7.28,7.13,7.23,7.22
Croydon,7.18,7.11,7.31,7.39
Ealing,6.92,7.44,7.22,7.48
Enfield,7.12,7.41,7.41,7.44
Greenwich,7.07,7.05,7.31,7.17
Hackney,7.07,7.02,6.87,7.18
Hammersmith and Fulham,7.17,6.94,7.09,7.34
Haringey,7.05,7.13,7.29,7.27
Harrow,7.33,7.35,7.5,7.51
Havering,7.32,7.24,7.34,7.28
Hillingdon,7.31,7.34,7.41,7.31
Hounslow,7.36,7.29,7.52,7.56
Islington,7.08,6.85,7.2,7.16
Kensington and Chelsea,7.45,7.51,7.6,7.46
Kingston upon Thames,7.28,7.18,7.51,7.49
Lambeth,7.17,6.97,7.14,7.34
Lewisham,7.07,7.13,7.41,7.23
Merton,7.0,7.13,7.17,7.51
Newham,7.05,7.32,7.5,7.56
Redbridge,7.36,7.34,7.24,7.45
Richmond upon Thames,7.24,7.33,7.54,7.48
Southwark,7.19,7.2,7.27,7.43
Sutton,7.15,7.13,7.25,7.51
Tower Hamlets,7.03,7.32,7.45,7.26
Waltham Forest,7.17,7.26,7.11,7.42
Wandsworth,7.33,7.28,7.51,7.39
Westminster,7.28,7.09,7.11,7.41
Inner London,7.17,7.15,7.29,7.33
Outer London,7.2,7.25,7.35,7.42
London,7.19,7.21,7.32,7.38
England,7.28,7.28,7.37,0.11
United Kingdom,7.28,7.29,7.38,0.1
