area,2011-12,2012-13,2013-14,2014-15
City of London,5.14,8.23,7.89,
Barking and Dagenham,7.47,7.57,7.33,7.56
Barnet,7.72,7.79,7.69,7.94
Bexley,7.71,7.75,7.76,7.8
Brent,7.16,7.32,7.51,7.47
Bromley,7.9,7.8,7.73,7.96
Camden,7.38,7.37,7.47,7.56
Croydon,7.54,7.46,7.62,7.73
Ealing,7.6,7.48,7.61,7.85
Enfield,7.53,7.57,7.56,7.71
Greenwich,7.36,7.49,7.71,7.64
Hackney,7.38,7.42,7.41,7.56
Hammersmith and Fulham,7.46,7.6,7.53,7.68
Haringey,7.34,7.44,7.66,7.59
Harrow,7.34,7.53,7.6,7.56
Havering,7.72,7.65,7.75,7.73
Hillingdon,7.59,7.63,7.83,7.85
Hounslow,7.5,7.6,7.59,7.83
Islington,7.31,7.22,7.65,7.47
Kensington and Chelsea,7.72,7.92,7.9,7.74
Kingston upon Thames,7.67,7.45,7.75,7.79
Lambeth,7.42,7.4,7.31,7.62
Lewisham,7.42,7.71,7.75,7.5
Merton,7.55,7.54,7.67,7.81
Newham,7.35,7.51,7.71,7.91
Redbridge,7.6,7.44,7.65,7.91
Richmond upon Thames,7.75,7.69,7.76,7.86
Southwark,7.51,7.68,7.72,7.68
Sutton,7.67,7.57,7.6,7.94
Tower Hamlets,7.14,7.56,7.63,7.62
Waltham Forest,7.29,7.72,7.57,7.84
Wandsworth,7.63,7.55,7.72,7.73
Westminster,7.56,7.44,7.57,7.72
Inner London,7.43,7.52,7.62,7.65
Outer London,7.56,7.58,7.65,7.78
London,7.51,7.56,7.64,7.73
England,7.66,7.68,7.73,7.81
United Kingdom,7.66,7.69,7.74,7.82
