area,year,total_carbon_emission
City of London,2005,1632.13485394109
Barking and Dagenham,2005,931.242174037569
Barnet,2005,1763.95879974093
Bexley,2005,1285.0019272706
Brent,2005,1427.99158671085
Bromley,2005,1568.05599924044
Camden,2005,1683.54726037132
Croydon,2005,1765.57253939044
Ealing,2005,1676.78947072552
Enfield,2005,1586.93102621041
Greenwich,2005,1262.88366551394
Hackney,2005,915.265064028241
Hammersmith and Fulham,2005,1090.21879357404
Haringey,2005,1045.68870700656
Harrow,2005,1010.53613009284
Havering,2005,1323.0305036305
Hillingdon,2005,2324.53239433643
Hounslow,2005,1602.23520752893
Islington,2005,1186.06381797022
Kensington and Chelsea,2005,1374.68435596953
Kingston upon Thames,2005,888.675876221294
Lambeth,2005,1413.44538076741
Lewisham,2005,1169.17341282173
Merton,2005,910.28671137604
Newham,2005,1454.91749502283
Redbridge,2005,1109.5344031989
Richmond upon Thames,2005,1051.8932545308
Southwark,2005,1732.73362109393
Sutton,2005,877.312557440021
Tower Hamlets,2005,2006.77786400525
Waltham Forest,2005,992.679528207988
Wandsworth,2005,1483.74334662944
Westminster,2005,3382.77549324541
Inner London,2005,21571.169466447
Outer London,2005,25359.1437554044
London,2005,46930.3132218514
England,2005,431759.508276567
United Kingdom,2005,529444.34425214
City of London,2006,1765.31150705357
Barking and Dagenham,2006,936.434819363587
Barnet,2006,1776.87292159272
Bexley,2006,1268.83093622916
Brent,2006,1397.26058917898
Bromley,2006,1603.62948968231
Camden,2006,1802.04008518123
Croydon,2006,1733.07037956087
Ealing,2006,1710.18285057845
Enfield,2006,1726.35229993271
Greenwich,2006,1258.95659123261
Hackney,2006,928.429116152891
Hammersmith and Fulham,2006,1113.88471901349
Haringey,2006,1054.47755165358
Harrow,2006,998.534906078502
Havering,2006,1336.76843471337
Hillingdon,2006,2319.32019881109
Hounslow,2006,1638.98871849281
Islington,2006,1227.10309825509
Kensington and Chelsea,2006,1411.38463898977
Kingston upon Thames,2006,877.096229059843
Lambeth,2006,1426.1824855308
Lewisham,2006,1156.27295601909
Merton,2006,896.580041736367
Newham,2006,1556.74065653608
Redbridge,2006,1103.71265615276
Richmond upon Thames,2006,1050.06034403862
Southwark,2006,1744.45983874958
Sutton,2006,878.176971202333
Tower Hamlets,2006,2352.51276076818
Waltham Forest,2006,1001.984137178
Wandsworth,2006,1451.1756385176
Westminster,2006,3567.55076491496
Inner London,2006,22557.5258173359
Outer London,2006,25512.8135148151
London,2006,48070.339332151
England,2006,429666.810710037
United Kingdom,2006,527269.883556595
City of London,2007,1665.45282351318
Barking and Dagenham,2007,925.117081881741
Barnet,2007,1718.21604297018
Bexley,2007,1217.7519880454
Brent,2007,1401.16651273355
Bromley,2007,1523.67323435206
Camden,2007,1749.82648765306
Croydon,2007,1679.94147770396
Ealing,2007,1698.64278200391
Enfield,2007,1719.93412058576
Greenwich,2007,1224.67136043507
Hackney,2007,904.887341334489
Hammersmith and Fulham,2007,1090.64734060358
Haringey,2007,1000.63545798956
Harrow,2007,976.844874858663
Havering,2007,1280.88899949948
Hillingdon,2007,2216.70042852143
Hounslow,2007,1595.6532839201
Islington,2007,1196.05241708553
Kensington and Chelsea,2007,1362.9106346231
