area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
City of London,"2,100","1,900","2,100","2,000","2,200","2,000","2,100","2,100","2,200","2,100","2,100","2,400","2,300","2,400","2,500","2,300","2,600"
Barking and Dagenham,500,600,500,500,500,400,300,300,200,200,200,200,200,200,200,200,200
Barnet,"1,400","1,200","1,200","1,100","1,100","1,300","1,100","1,100","1,100","1,000","1,000","1,000","1,000",900,"1,100","1,100","1,000"
Bexley,"1,000","1,000","1,000","1,000",900,900,"1,000","1,000","1,000",900,"1,000","1,000","1,000","1,000","1,100","1,100","1,200"
Brent,800,800,700,700,700,600,700,600,700,700,800,600,700,600,700,600,600
Bromley,"1,400","1,500","1,300","1,300","1,300","1,400","1,400","1,400","1,400","1,200","1,200","1,300","1,200","1,400","1,500","1,400","1,600"
Camden,"2,600","2,400","2,400","2,300","2,200","2,400","2,500","2,500","2,800","2,800","2,800","3,300","3,100","3,200","3,400","3,300","3,500"
Croydon,"1,600","1,500","1,600","1,500","1,400","1,300","1,300","1,200","1,100",900,900,"1,000",900,900,"1,000",900,900
Ealing,"1,400","1,400","1,300","1,200","1,100","1,100","1,100","1,100","1,100","1,000",900,900,900,"1,000","1,000",900,900
Enfield,"1,000","1,000","1,000",900,900,"1,000","1,000",900,"1,100",900,900,900,800,900,900,900,900
Greenwich,800,800,700,800,600,700,700,700,800,700,"1,100","1,000","1,400",900,"1,000",900,900
Hackney,700,800,800,800,800,800,800,800,900,900,"1,000","1,200","1,400","1,700","1,800","1,900","2,000"
Hammersmith and Fulham,"1,500","1,300","1,500","1,500","1,400","1,600","1,600","1,500","1,400","1,300","1,300","1,400","1,700","1,600","1,400","1,500","1,400"
Haringey,800,900,800,700,700,600,600,500,600,600,600,600,600,600,700,700,900
Harrow,700,600,600,500,600,500,500,400,400,500,500,500,500,500,500,500,500
Havering,"1,200","1,100","1,000","1,000",900,"1,000","1,000",900,900,900,900,900,900,"1,000","1,000",900,900
Hillingdon,"1,400","1,300","1,200","1,200","1,300","1,200","1,200","1,100","1,300","1,100","1,100","1,200","1,200","1,200","1,300","1,200","1,200"
Hounslow,"1,300","1,000","1,000",900,900,800,700,700,800,600,600,600,600,600,700,700,900
Islington,"1,600","1,900","1,800","2,100","1,700","1,700","1,700","1,800","1,700","1,600","1,600","1,900","2,300","2,300","2,500","2,500","2,400"
Kensington and Chelsea,"1,300","1,300","1,300","1,200","1,200","1,300","1,400","1,300","1,500","1,400","1,300","1,400","1,400","1,500","1,800","1,600","1,600"
Kingston upon Thames,900,900,900,900,900,900,900,900,900,"1,000",900,900,900,"1,000","1,000","1,000",900
Lambeth,"1,300","1,400","1,400","1,500","1,400","1,500","1,500","1,500","1,500","1,600","1,600","1,800","1,600","1,700","1,900","2,100","2,100"
Lewisham,800,700,600,500,600,600,700,600,600,500,500,500,500,700,500,600,700
Merton,800,800,800,800,800,900,800,800,800,800,700,800,700,800,800,700,600
Newham,600,600,600,600,500,500,500,500,400,400,300,300,600,500,500,500,500
Redbridge,900,900,900,800,800,800,800,800,800,800,800,800,700,800,800,900,800
Richmond upon Thames,"1,500","1,500","1,500","1,500","1,500","1,600","1,700","1,400","1,600","1,500","1,500","1,600","1,600","1,700","1,800","1,700","1,600"
Southwark,"1,600","1,700","1,400","1,400","1,600","1,500","1,600","1,400","1,500","1,600","1,500","1,700","1,800","2,100","2,400","2,500","2,600"
Sutton,700,800,700,700,800,800,700,700,600,600,600,600,600,600,600,600,600
Tower Hamlets,"1,000","1,200","1,200","1,100","1,300","1,300","1,300","1,300","1,300","1,200","1,400","1,400","1,500","1,500","1,300","1,300","1,200"
Waltham Forest,800,800,700,600,600,700,700,600,600,500,500,500,500,500,500,500,500
Wandsworth,"1,400","1,600","1,600","1,500","1,500","1,400","1,600","1,600","1,600","1,400","1,500","1,700","1,700","1,900","2,000","2,100","2,000"
Westminster,"5,300","5,300","5,100","5,300","5,100","5,000","4,900","5,000","5,000","5,400","5,800","6,300","6,200","6,400","6,800","6,600","6,300"
