area,2011-12,2012-13,2013-14,2014-15
City of London,7.61,,,
Barking and Dagenham,3.23,3.3,3.57,3.15
Barnet,3.33,2.63,2.61,2.31
Bexley,3.12,3.22,3.4,3.13
Brent,2.74,3.33,3.15,2.51
Bromley,3.21,3.2,3.18,2.79
Camden,3.8,3.25,3.38,3.21
Croydon,3.51,3.02,3.39,2.91
Ealing,3.92,3.58,3.37,3.28
Enfield,3.17,2.51,2.53,2.13
Greenwich,3.42,3.68,3.13,3.55
Hackney,3.91,3.61,3.84,3.36
Hammersmith and Fulham,2.94,3.15,3.33,3.18
Haringey,3.23,3.07,3.2,2.95
Harrow,2.6,3.17,2.65,2.56
Havering,3.35,3.17,3.15,3.0
Hillingdon,3.52,3.34,2.96,3.04
Hounslow,3.53,3.51,3.16,3.21
Islington,3.64,3.74,3.43,3.22
Kensington and Chelsea,3.31,3.06,3.11,3.12
Kingston upon Thames,3.57,3.23,3.05,3.17
Lambeth,3.34,3.69,3.52,3.06
Lewisham,3.63,3.35,3.32,3.18
Merton,3.78,3.59,3.31,3.32
Newham,3.91,3.36,2.74,2.69
Redbridge,3.36,3.12,3.13,2.99
Richmond upon Thames,3.32,3.56,3.0,3.36
Southwark,3.6,3.28,3.47,3.29
Sutton,3.14,3.34,3.25,3.01
Tower Hamlets,3.51,2.93,3.21,3.13
Waltham Forest,3.41,2.99,3.0,2.77
Wandsworth,3.71,3.55,3.36,3.11
Westminster,3.51,3.58,3.18,3.4
Inner London,3.56,3.36,3.32,3.13
Outer London,3.34,3.21,3.09,2.92
London,3.43,3.27,3.18,3.01
England,3.15,3.05,2.94,2.86
United Kingdom,3.14,3.03,2.93,2.86
