area,2011-12,2012-13,2013-14,2014-15
City of London,,8.1,8.2,
Barking and Dagenham,7.04,7.06,6.93,7.33
Barnet,7.45,7.35,7.39,7.58
Bexley,7.4,7.47,7.26,7.55
Brent,7.04,7.23,7.31,7.27
Bromley,7.54,7.63,7.5,7.7
Camden,7.24,7.22,7.13,7.29
Croydon,7.06,7.0,7.38,7.36
Ealing,7.15,7.24,7.28,7.64
Enfield,7.19,7.18,7.31,7.45
Greenwich,7.2,7.16,7.21,7.31
Hackney,7.03,7.07,7.13,7.42
Hammersmith and Fulham,7.33,7.23,7.39,7.55
Haringey,7.09,7.2,7.31,7.38
Harrow,7.3,7.34,7.51,7.46
Havering,7.38,7.4,7.5,7.58
Hillingdon,7.38,7.35,7.46,7.63
Hounslow,7.24,7.3,7.34,7.63
Islington,7.09,7.08,7.36,7.36
Kensington and Chelsea,7.61,7.68,7.7,7.65
Kingston upon Thames,7.29,7.29,7.42,7.54
Lambeth,7.14,7.09,6.99,7.43
Lewisham,7.09,7.23,7.37,7.35
Merton,7.18,7.18,7.52,7.62
Newham,7.17,7.22,7.31,7.56
Redbridge,7.29,7.28,7.45,7.59
Richmond upon Thames,7.52,7.42,7.56,7.53
Southwark,7.32,7.27,7.56,7.44
Sutton,7.37,7.25,7.43,7.63
Tower Hamlets,7.03,7.28,7.46,7.54
Waltham Forest,7.16,7.24,7.3,7.66
Wandsworth,7.48,7.23,7.43,7.46
Westminster,7.33,7.09,7.5,7.53
Inner London,7.22,7.21,7.36,7.45
Outer London,7.27,7.28,7.38,7.53
London,7.25,7.26,7.37,7.5
England,7.4,7.44,7.49,7.6
United Kingdom,7.41,7.45,7.51,7.61
