state;region;year;value;Colonne1
Rondônia;Madeira-Guaporé;2002;2903642.81;0
Rondônia;Madeira-Guaporé;2003;3542366.88;0.219973362
Rondônia;Madeira-Guaporé;2004;4328270.64;0.221858375
Rondônia;Madeira-Guaporé;2005;4871565.76;0.125522447
Rondônia;Madeira-Guaporé;2006;5210185.96;0.06950952
Rondônia;Madeira-Guaporé;2007;5725773.26;0.098957562
Rondônia;Madeira-Guaporé;2008;6836125.96;0.193921877
Rondônia;Madeira-Guaporé;2009;8564778.63;0.252870219
Rondônia;Madeira-Guaporé;2010;11177549.49;0.305059941
Rondônia;Madeira-Guaporé;2011;13546245.02;0.211915459
Rondônia;Madeira-Guaporé;2012;14298553.73;0.055536328
Rondônia;Madeira-Guaporé;2013;14286915.65;-0.000813934
Rondônia;Madeira-Guaporé;2014;15611905.02;0.092741457
Rondônia;Madeira-Guaporé;2015;17086962.65;0.094482872
Rondônia;Madeira-Guaporé;2016;18108011.83;0.059756037
Rondônia;Madeira-Guaporé;2017;20315306.68;0.121896035
Rondônia;Leste Rondoniense;2002;4563987.07;0
Rondônia;Leste Rondoniense;2003;5882643.6;0.288926439
Rondônia;Leste Rondoniense;2004;6676370.8;0.134926957
Rondônia;Leste Rondoniense;2005;7640255.42;0.144372541
Rondônia;Leste Rondoniense;2006;7844527.38;0.026736274
Rondônia;Leste Rondoniense;2007;8712603.24;0.110660059
Rondônia;Leste Rondoniense;2008;10449415.77;0.199344844
Rondônia;Leste Rondoniense;2009;11160230.87;0.068024387
Rondônia;Leste Rondoniense;2010;12730337.39;0.140687638
Rondônia;Leste Rondoniense;2011;14028469.36;0.101971529
Rondônia;Leste Rondoniense;2012;15814166.6;0.127290953
Rondônia;Leste Rondoniense;2013;16834496.88;0.064520016
Rondônia;Leste Rondoniense;2014;18419076.95;0.094126963
Rondônia;Leste Rondoniense;2015;19476370.05;0.057402068
Rondônia;Leste Rondoniense;2016;21352347.15;0.096320674
Rondônia;Leste Rondoniense;2017;23191192.15;0.086119104
Acre;Vale do Juruá;2002;529029.41;0
Acre;Vale do Juruá;2003;604101.23;0.141904814
Acre;Vale do Juruá;2004;656524.66;0.086779214
Acre;Vale do Juruá;2005;759512.33;0.156867939
Acre;Vale do Juruá;2006;828454.15;0.090771166
Acre;Vale do Juruá;2007;1001914.22;0.209377996
Acre;Vale do Juruá;2008;1199552.36;0.19726054
Acre;Vale do Juruá;2009;1380042.79;0.15046482
Acre;Vale do Juruá;2010;1616720.26;0.171500095
Acre;Vale do Juruá;2011;1647967.92;0.019327809
Acre;Vale do Juruá;2012;1826724.28;0.108470777
Acre;Vale do Juruá;2013;2161365.88;0.183192178
Acre;Vale do Juruá;2014;2535895.62;0.173283822
Acre;Vale do Juruá;2015;2458068.46;-0.030690206
Acre;Vale do Juruá;2016;2734296.56;0.112376081
Acre;Vale do Juruá;2017;2875536.62;0.051654989
Acre;Vale do Acre;2002;2442271.87;0
Acre;Vale do Acre;2003;2773133.02;0.135472694
Acre;Vale do Acre;2004;3127477.92;0.127777823
Acre;Vale do Acre;2005;3541068.94;0.132244265
Acre;Vale do Acre;2006;3833352.81;0.082541141
Acre;Vale do Acre;2007;4456257.95;0.162496167
Acre;Vale do Acre;2008;5210702.32;0.169299977
Acre;Vale do Acre;2009;6027778.61;0.156807325
Acre;Vale do Acre;2010;6725635.27;0.115773439
Acre;Vale do Acre;2011;7301465.84;0.085617276
Acre;Vale do Acre;2012;8311200.43;0.138292038
Acre;Vale do Acre;2013;9312564.29;0.120483662
Acre;Vale do Acre;2014;10922802.01;0.172910239
Acre;Vale do Acre;2015;11164733.34;0.0221492
Acre;Vale do Acre;2016;11019943.42;-0.012968507
Acre;Vale do Acre;2017;11395526.52;0.034082126
Amazonas;Norte Amazonense;2002;172660.28;0
Amazonas;Norte Amazonense;2003;197594.39;0.144411384
Amazonas;Norte Amazonense;2004;221697.98;0.121985194
Amazonas;Norte Amazonense;2005;243948.63;0.100364694
Amazonas;Norte Amazonense;2006;282120.35;0.156474418
Amazonas;Norte Amazonense;2007;323202.11;0.145617854
Amazonas;Norte Amazonense;2008;386586.51;0.196113819
Amazonas;Norte Amazonense;2009;434364.91;0.123590448
Amazonas;Norte Amazonense;2010;493112.2;0.135248701
Amazonas;Norte Amazonense;2011;582763.95;0.181808014
Amazonas;Norte Amazonense;2012;604391.1;0.037111338
Amazonas;Norte Amazonense;2013;696035.02;0.151630161
Amazonas;Norte Amazonense;2014;816777.79;0.173472263
Amazonas;Norte Amazonense;2015;873111.31;0.068970436
Amazonas;Norte Amazonense;2016;896252.34;0.026504101
Amazonas;Norte Amazonense;2017;944393.06;0.053713355
Amazonas;Sudoeste Amazonense;2002;622726.07;0
Amazonas;Sudoeste Amazonense;2003;677650.02;0.088199214
Amazonas;Sudoeste Amazonense;2004;719793.14;0.062190096
Amazonas;Sudoeste Amazonense;2005;797882.01;0.108487933
Amazonas;Sudoeste Amazonense;2006;945436.84;0.184933146
Amazonas;Sudoeste Amazonense;2007;957083.74;0.012319067
Amazonas;Sudoeste Amazonense;2008;1086033.13;0.134731565
Amazonas;Sudoeste Amazonense;2009;1215654.23;0.119352805
Amazonas;Sudoeste Amazonense;2010;1482611.68;0.21959982
Amazonas;Sudoeste Amazonense;2011;1832954.98;0.236301457
Amazonas;Sudoeste Amazonense;2012;2043156.37;0.11467897
Amazonas;Sudoeste Amazonense;2013;2460326.04;0.204179022
Amazonas;Sudoeste Amazonense;2014;2720635.04;0.105802644
Amazonas;Sudoeste Amazonense;2015;2829326.46;0.039950754
Amazonas;Sudoeste Amazonense;2016;2988858.73;0.056385247
Amazonas;Sudoeste Amazonense;2017;3197709.75;0.069876511
Amazonas;Centro Amazonense;2002;20804792.01;0
Amazonas;Centro Amazonense;2003;24450502.13;0.175234154
Amazonas;Centro Amazonense;2004;29557652.81;0.208877129
Amazonas;Centro Amazonense;2005;32250417.02;0.091102099
Amazonas;Centro Amazonense;2006;37796084.77;0.171956466
Amazonas;Centro Amazonense;2007;41251862.65;0.091432166
Amazonas;Centro Amazonense;2008;45587383.6;0.105098792
Amazonas;Centro Amazonense;2009;47764068.99;0.047747539
Amazonas;Centro Amazonense;2010;57525612.45;0.204370014
Amazonas;Centro Amazonense;2011;66500034.28;0.15600741
Amazonas;Centro Amazonense;2012;67630310.21;0.016996622
Amazonas;Centro Amazonense;2013;77633079.2;0.147903639
Amazonas;Centro Amazonense;2014;80590464.8;0.0380944
Amazonas;Centro Amazonense;2015;80192735.66;-0.004935189
Amazonas;Centro Amazonense;2016;82327233.12;0.026617092
