Month,Admissions,Lay-offs,Job_type,Year
January,548,536,Public Service,2000
February,447,582,Public Service,2000
March,265,420,Public Service,2000
April,162,270,Public Service,2000
May,190,591,Public Service,2000
June,231,428,Public Service,2000
July,203,578,Public Service,2000
August,196,444,Public Service,2000
September,139,390,Public Service,2000
October,141,313,Public Service,2000
November,88,154,Public Service,2000
December,92,233,Public Service,2000
January,83,193,Public Service,2001
February,219,497,Public Service,2001
March,176,306,Public Service,2001
April,296,205,Public Service,2001
May,232,403,Public Service,2001
June,283,406,Public Service,2001
July,868,395,Public Service,2001
August,589,234,Public Service,2001
September,244,265,Public Service,2001
October,231,198,Public Service,2001
November,317,333,Public Service,2001
December,324,240,Public Service,2001
January,363,221,Public Service,2002
February,322,155,Public Service,2002
March,398,219,Public Service,2002
April,381,244,Public Service,2002
May,217,294,Public Service,2002
June,220,168,Public Service,2002
July,108,195,Public Service,2002
August,314,126,Public Service,2002
September,246,197,Public Service,2002
October,262,205,Public Service,2002
November,304,219,Public Service,2002
December,42,339,Public Service,2002
January,254,200,Public Service,2003
February,123,219,Public Service,2003
March,270,264,Public Service,2003
April,74,140,Public Service,2003
May,90,118,Public Service,2003
June,52,95,Public Service,2003
July,66,55,Public Service,2003
August,103,96,Public Service,2003
September,95,96,Public Service,2003
October,77,77,Public Service,2003
November,39,100,Public Service,2003
December,85,116,Public Service,2003
January,373,121,Public Service,2004
February,347,89,Public Service,2004
March,189,146,Public Service,2004
April,125,97,Public Service,2004
May,407,270,Public Service,2004
June,202,124,Public Service,2004
July,141,145,Public Service,2004
August,420,145,Public Service,2004
September,167,159,Public Service,2004
October,117,237,Public Service,2004
November,76,158,Public Service,2004
December,244,127,Public Service,2004
January,180,120,Public Service,2005
February,464,108,Public Service,2005
March,187,186,Public Service,2005
April,176,159,Public Service,2005
May,88,127,Public Service,2005
June,217,154,Public Service,2005
July,453,123,Public Service,2005
August,296,140,Public Service,2005
September,138,191,Public Service,2005
October,71,110,Public Service,2005
November,197,140,Public Service,2005
December,372,109,Public Service,2005
January,203,140,Public Service,2006
February,145,132,Public Service,2006
March,179,166,Public Service,2006
April,396,134,Public Service,2006
May,295,144,Public Service,2006
June,177,172,Public Service,2006
July,450,191,Public Service,2006
August,263,197,Public Service,2006
September,107,195,Public Service,2006
October,266,305,Public Service,2006
November,233,200,Public Service,2006
December,238,160,Public Service,2006
January,193,270,Public Service,2007
February,172,141,Public Service,2007
March,258,190,Public Service,2007
April,359,251,Public Service,2007
May,351,199,Public Service,2007
June,245,146,Public Service,2007
July,101,261,Public Service,2007
August,75,213,Public Service,2007
September,101,150,Public Service,2007
October,198,246,Public Service,2007
November,157,181,Public Service,2007
December,199,151,Public Service,2007
January,324,374,Public Service,2008
February,268,267,Public Service,2008
March,742,210,Public Service,2008
April,528,241,Public Service,2008
May,213,165,Public Service,2008
June,299,214,Public Service,2008
July,198,235,Public Service,2008
August,257,238,Public Service,2008
September,250,295,Public Service,2008
October,329,228,Public Service,2008
November,238,201,Public Service,2008
December,130,89,Public Service,2008
January,270,227,Public Service,2009
February,152,259,Public Service,2009
March,283,432,Public Service,2009
April,532,274,Public Service,2009
May,255,185,Public Service,2009
June,242,165,Public Service,2009
July,184,178,Public Service,2009
August,198,194,Public Service,2009
September,181,254,Public Service,2009
October,221,176,Public Service,2009
November,495,180,Public Service,2009
December,158,276,Public Service,2009
